This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 186, Id: 70, Duration: 1, Teachers: Grade Teacher 1, Subject: Religious Education, Activity tags: , Students: Grade 1
No: 187, Id: 71, Duration: 1, Teachers: Grade Teacher 1, Subject: Religious Education, Activity tags: , Students: Grade 1
No: 188, Id: 72, Duration: 1, Teachers: Grade Teacher 1, Subject: Religious Education, Activity tags: , Students: Grade 1
No: 189, Id: 73, Duration: 1, Teachers: Grade Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: Grade 1
No: 190, Id: 74, Duration: 1, Teachers: Grade Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: Grade 1
No: 191, Id: 75, Duration: 1, Teachers: Grade Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: Grade 1
No: 192, Id: 76, Duration: 1, Teachers: Grade Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: Grade 1
No: 193, Id: 193, Duration: 1, Teachers: PP Teacher 1, Subject: Language Activities, Activity tags: , Students: PP1
No: 194, Id: 194, Duration: 1, Teachers: PP Teacher 1, Subject: Language Activities, Activity tags: , Students: PP1
No: 195, Id: 195, Duration: 1, Teachers: PP Teacher 1, Subject: Language Activities, Activity tags: , Students: PP1
No: 196, Id: 196, Duration: 1, Teachers: PP Teacher 1, Subject: Language Activities, Activity tags: , Students: PP1
No: 197, Id: 197, Duration: 1, Teachers: PP Teacher 1, Subject: Language Activities, Activity tags: , Students: PP1
No: 198, Id: 198, Duration: 1, Teachers: PP Teacher 1, Subject: Mathematical Activities, Activity tags: , Students: PP1
No: 199, Id: 199, Duration: 1, Teachers: PP Teacher 1, Subject: Mathematical Activities, Activity tags: , Students: PP1
No: 200, Id: 200, Duration: 1, Teachers: PP Teacher 1, Subject: Mathematical Activities, Activity tags: , Students: PP1
No: 201, Id: 201, Duration: 1, Teachers: PP Teacher 1, Subject: Mathematical Activities, Activity tags: , Students: PP1
No: 202, Id: 202, Duration: 1, Teachers: PP Teacher 1, Subject: Mathematical Activities, Activity tags: , Students: PP1
No: 203, Id: 203, Duration: 1, Teachers: PP Teacher 1, Subject: Environmental Activities, Activity tags: , Students: PP1
No: 204, Id: 204, Duration: 1, Teachers: PP Teacher 1, Subject: Environmental Activities, Activity tags: , Students: PP1
No: 205, Id: 205, Duration: 1, Teachers: PP Teacher 1, Subject: Environmental Activities, Activity tags: , Students: PP1
No: 206, Id: 206, Duration: 1, Teachers: PP Teacher 1, Subject: Environmental Activities, Activity tags: , Students: PP1
No: 207, Id: 207, Duration: 1, Teachers: PP Teacher 1, Subject: Environmental Activities, Activity tags: , Students: PP1
No: 208, Id: 208, Duration: 1, Teachers: PP Teacher 1, Subject: Psychomotor and Creative Activities, Activity tags: , Students: PP1
No: 209, Id: 209, Duration: 1, Teachers: PP Teacher 1, Subject: Psychomotor and Creative Activities, Activity tags: , Students: PP1
No: 210, Id: 210, Duration: 1, Teachers: PP Teacher 1, Subject: Psychomotor and Creative Activities, Activity tags: , Students: PP1
No: 211, Id: 211, Duration: 1, Teachers: PP Teacher 1, Subject: Psychomotor and Creative Activities, Activity tags: , Students: PP1
No: 212, Id: 212, Duration: 1, Teachers: PP Teacher 1, Subject: Psychomotor and Creative Activities, Activity tags: , Students: PP1
No: 213, Id: 213, Duration: 1, Teachers: PP Teacher 1, Subject: Religious Education Activities, Activity tags: , Students: PP1
No: 214, Id: 214, Duration: 1, Teachers: PP Teacher 1, Subject: Religious Education Activities, Activity tags: , Students: PP1
No: 215, Id: 215, Duration: 1, Teachers: PP Teacher 1, Subject: Religious Education Activities, Activity tags: , Students: PP1
No: 216, Id: 216, Duration: 1, Teachers: PP Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: PP1
No: 217, Id: 217, Duration: 1, Teachers: PP Teacher 1, Subject: Pastoral Programme of Instruction, Activity tags: , Students: PP1
End - the order of activities (id-s)
